Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-11-24,RIVM_report_20201124,0-4,Totaal,,841
2020-11-24,RIVM_report_20201124,5-9,Totaal,,2745
2020-11-24,RIVM_report_20201124,10-14,Totaal,,15500
2020-11-24,RIVM_report_20201124,15-19,Totaal,,39337
2020-11-24,RIVM_report_20201124,20-24,Totaal,,51469
2020-11-24,RIVM_report_20201124,25-29,Totaal,,44258
2020-11-24,RIVM_report_20201124,30-34,Totaal,,38018
2020-11-24,RIVM_report_20201124,35-39,Totaal,,33706
2020-11-24,RIVM_report_20201124,40-44,Totaal,,33944
2020-11-24,RIVM_report_20201124,45-49,Totaal,,40312
2020-11-24,RIVM_report_20201124,50-54,Totaal,,45275
2020-11-24,RIVM_report_20201124,55-59,Totaal,,40141
2020-11-24,RIVM_report_20201124,60-64,Totaal,,29972
2020-11-24,RIVM_report_20201124,65-69,Totaal,,18823
2020-11-24,RIVM_report_20201124,70-74,Totaal,,16469
2020-11-24,RIVM_report_20201124,75-79,Totaal,,12917
2020-11-24,RIVM_report_20201124,80-84,Totaal,,11955
2020-11-24,RIVM_report_20201124,85-89,Totaal,,10233
2020-11-24,RIVM_report_20201124,90-94,Totaal,,5832
2020-11-24,RIVM_report_20201124,95+,Totaal,,1933
2020-11-24,RIVM_report_20201124,Niet vermeld,Totaal,,64
2020-11-24,RIVM_report_20201124,0-4,Overleden,,0
2020-11-24,RIVM_report_20201124,5-9,Overleden,,0
2020-11-24,RIVM_report_20201124,10-14,Overleden,,0
2020-11-24,RIVM_report_20201124,15-19,Overleden,,2
2020-11-24,RIVM_report_20201124,20-24,Overleden,,0
2020-11-24,RIVM_report_20201124,25-29,Overleden,,3
2020-11-24,RIVM_report_20201124,30-34,Overleden,,4
2020-11-24,RIVM_report_20201124,35-39,Overleden,,13
2020-11-24,RIVM_report_20201124,40-44,Overleden,,11
2020-11-24,RIVM_report_20201124,45-49,Overleden,,37
2020-11-24,RIVM_report_20201124,50-54,Overleden,,70
2020-11-24,RIVM_report_20201124,55-59,Overleden,,127
2020-11-24,RIVM_report_20201124,60-64,Overleden,,224
2020-11-24,RIVM_report_20201124,65-69,Overleden,,452
2020-11-24,RIVM_report_20201124,70-74,Overleden,,862
2020-11-24,RIVM_report_20201124,75-79,Overleden,,1407
2020-11-24,RIVM_report_20201124,80-84,Overleden,,1914
2020-11-24,RIVM_report_20201124,85-89,Overleden,,2118
2020-11-24,RIVM_report_20201124,90-94,Overleden,,1302
2020-11-24,RIVM_report_20201124,95+,Overleden,,489
2020-11-24,RIVM_report_20201124,Niet vermeld,Overleden,,0
