Datum,Bron,LeeftijdGroep,Type,Aantal,AantalCumulatief
2020-12-29,RIVM_report_20201229,0-4,Totaal,,1495
2020-12-29,RIVM_report_20201229,5-9,Totaal,,6835
2020-12-29,RIVM_report_20201229,10-14,Totaal,,33373
2020-12-29,RIVM_report_20201229,15-19,Totaal,,66717
2020-12-29,RIVM_report_20201229,20-24,Totaal,,74053
2020-12-29,RIVM_report_20201229,25-29,Totaal,,64480
2020-12-29,RIVM_report_20201229,30-34,Totaal,,57208
2020-12-29,RIVM_report_20201229,35-39,Totaal,,52284
2020-12-29,RIVM_report_20201229,40-44,Totaal,,54214
2020-12-29,RIVM_report_20201229,45-49,Totaal,,64467
2020-12-29,RIVM_report_20201229,50-54,Totaal,,71146
2020-12-29,RIVM_report_20201229,55-59,Totaal,,62490
2020-12-29,RIVM_report_20201229,60-64,Totaal,,47200
2020-12-29,RIVM_report_20201229,65-69,Totaal,,30364
2020-12-29,RIVM_report_20201229,70-74,Totaal,,26474
2020-12-29,RIVM_report_20201229,75-79,Totaal,,20161
2020-12-29,RIVM_report_20201229,80-84,Totaal,,17964
2020-12-29,RIVM_report_20201229,85-89,Totaal,,15302
2020-12-29,RIVM_report_20201229,90-94,Totaal,,8731
2020-12-29,RIVM_report_20201229,95+,Totaal,,2885
2020-12-29,RIVM_report_20201229,Niet vermeld,Totaal,,59
2020-12-29,RIVM_report_20201229,0-4,Overleden,,0
2020-12-29,RIVM_report_20201229,5-9,Overleden,,0
2020-12-29,RIVM_report_20201229,10-14,Overleden,,0
2020-12-29,RIVM_report_20201229,15-19,Overleden,,2
2020-12-29,RIVM_report_20201229,20-24,Overleden,,1
2020-12-29,RIVM_report_20201229,25-29,Overleden,,4
2020-12-29,RIVM_report_20201229,30-34,Overleden,,6
2020-12-29,RIVM_report_20201229,35-39,Overleden,,15
2020-12-29,RIVM_report_20201229,40-44,Overleden,,13
2020-12-29,RIVM_report_20201229,45-49,Overleden,,47
2020-12-29,RIVM_report_20201229,50-54,Overleden,,92
2020-12-29,RIVM_report_20201229,55-59,Overleden,,147
2020-12-29,RIVM_report_20201229,60-64,Overleden,,268
2020-12-29,RIVM_report_20201229,65-69,Overleden,,532
2020-12-29,RIVM_report_20201229,70-74,Overleden,,1063
2020-12-29,RIVM_report_20201229,75-79,Overleden,,1732
2020-12-29,RIVM_report_20201229,80-84,Overleden,,2364
2020-12-29,RIVM_report_20201229,85-89,Overleden,,2618
2020-12-29,RIVM_report_20201229,90-94,Overleden,,1664
2020-12-29,RIVM_report_20201229,95+,Overleden,,644
2020-12-29,RIVM_report_20201229,Niet vermeld,Overleden,,0
