Gemnr;Gemeente;Aantal;BevAant;Aantal per 100.000 inwoners
-1;* Bij 55 personen is de woonplaats niet van bekend;99;;
518;'s-Gravenhage;47;537833;8.7
796;'s-Hertogenbosch;55;154205;35.7
1680;Aa en Hunze;1;25386;3.9
358;Aalsmeer;7;31728;22.1
197;Aalten;1;27011;3.7
59;Achtkarspelen;0;27852;0
482;Alblasserdam;4;20069;19.9
613;Albrandswaard;12;25271;47.5
361;Alkmaar;15;108558;13.8
141;Almelo;5;72849;6.9
34;Almere;14;207904;6.7
484;Alphen aan den Rijn;17;110986;15.3
1723;Alphen-Chaam;9;10149;88.7
1959;Altena;23;55386;41.5
60;Ameland;0;3673;0
307;Amersfoort;37;156286;23.7
362;Amstelveen;27;90838;29.7
363;Amsterdam;188;862965;21.8
200;Apeldoorn;17;162445;10.5
3;Appingedam;0;11721;0
202;Arnhem;16;159265;10
106;Assen;2;67963;2.9
743;Asten;5;16710;29.9
744;Baarle-Nassau;1;6847;14.6
308;Baarn;1;24767;4
489;Barendrecht;10;48673;20.5
203;Barneveld;9;57971;15.5
888;Beek;5;15929;31.4
1954;Beekdaelen;19;35727;53.2
370;Beemster;0;9748;0
889;Beesel;5;13519;37
1945;Berg en Dal;30;34798;86.2
1724;Bergeijk;1;18491;5.4
893;Bergen (L);1;13140;7.6
373;Bergen (NH);8;29974;26.7
748;Bergen op Zoom;10;66811;15
1859;Berkelland;1;43904;2.3
1721;Bernheze;57;30806;185
753;Best;14;29821;46.9
209;Beuningen;11;25882;42.5
375;Beverwijk;7;41176;17
1728;Bladel;11;20175;54.5
376;Blaricum;4;11202;35.7
377;Bloemendaal;8;23410;34.2
1901;Bodegraven-Reeuwijk;5;34462;14.5
755;Boekel;37;10588;349.5
1681;Borger-Odoorn;0;25372;0
147;Borne;5;23210;21.5
654;Borsele;3;22800;13.2
756;Boxmeer;7;29065;24.1
757;Boxtel;12;30747;39
758;Breda;140;183873;76.1
501;Brielle;1;17182;5.8
1876;Bronckhorst;6;36212;16.6
213;Brummen;1;20698;4.8
899;Brunssum;6;28103;21.4
312;Bunnik;3;15192;19.7
313;Bunschoten;0;21576;0
214;Buren;5;26568;18.8
502;Capelle aan den IJssel;7;66818;10.5
383;Castricum;8;35772;22.4
109;Coevorden;14;35483;39.5
1706;Cranendonck;13;20440;63.6
1684;Cuijk;4;24931;16
216;Culemborg;5;28555;17.5
148;Dalfsen;8;28499;28.1
1891;Dantumadiel;0;18923;0
310;De Bilt;20;42824;46.7
1940;De Fryske Marren;8;51430;15.6
736;De Ronde Venen;4;44059;9.1
1690;De Wolden;3;24110;12.4
503;Delft;12;103163;11.6
10;Delfzijl;0;24716;0
400;Den Helder;3;55604;5.4
762;Deurne;22;32362;68
150;Deventer;16;99957;16
384;Diemen;4;29196;13.7
1774;Dinkelland;14;26350;53.1
221;Doesburg;4;11148;35.9
222;Doetinchem;5;57555;8.7
766;Dongen;2;26051;7.7
505;Dordrecht;13;118654;11
498;Drechterland;2;19597;10.2
1719;Drimmelen;14;27150;51.6
303;Dronten;10;40815;24.5
225;Druten;5;18797;26.6
226;Duiven;2;25332;7.9
1711;Echt-Susteren;12;31638;37.9
385;Edam-Volendam;5;36099;13.9
228;Ede;16;115710;13.8
317;Eemnes;1;9113;11
770;Eersel;9;19110;47.1
1903;Eijsden-Margraten;6;25658;23.4
772;Eindhoven;46;231642;19.9
230;Elburg;3;23086;13
114;Emmen;4;107113;3.7
388;Enkhuizen;7;18507;37.8
153;Enschede;18;158986;11.3
232;Epe;8;33145;24.1
233;Ermelo;13;26858;48.4
777;Etten-Leur;20;43774;45.7
779;Geertruidenberg;8;21515;37.2
1771;Geldrop-Mierlo;6;39595;15.2
1652;Gemert-Bakel;50;30447;164.2
907;Gennep;7;17071;41
784;Gilze en Rijen;12;26431;45.4
1924;Goeree-Overflakkee;25;49611;50.4
664;Goes;3;37653;8
785;Goirle;13;23793;54.6
1942;Gooise Meren;11;57715;19.1
512;Gorinchem;2;36682;5.5
513;Gouda;15;73181;20.5
786;Grave;10;12483;80.1
14;Groningen;46;231299;19.9
1729;Gulpen-Wittem;2;14246;14
158;Haaksbergen;3;24277;12.4
788;Haaren;12;14195;84.5
392;Haarlem;27;161265;16.7
394;Haarlemmermeer;16;154235;10.4
1655;Halderberge;7;30194;23.2
160;Hardenberg;3;60574;5
243;Harderwijk;6;47581;12.6
523;Hardinxveld-Giessendam;6;18051;33.2
72;Harlingen;3;15758;19
244;Hattem;1;12173;8.2
396;Heemskerk;5;39164;12.8
397;Heemstede;11;27286;40.3
246;Heerde;9;18546;48.5
74;Heerenveen;2;50257;4
398;Heerhugowaard;8;56742;14.1
917;Heerlen;24;86832;27.6
1658;Heeze-Leende;7;15964;43.8
399;Heiloo;6;23464;25.6
163;Hellendoorn;4;35808;11.2
530;Hellevoetsluis;4;40049;10
794;Helmond;38;91524;41.5
531;Hendrik-Ido-Ambacht;1;30966;3.2
164;Hengelo (O);15;80683;18.6
1966;Het Hogeland;0;47888;0
252;Heumen;7;16486;42.5
797;Heusden;15;44135;34
534;Hillegom;2;21966;9.1
798;Hilvarenbeek;6;15334;39.1
402;Hilversum;7;90238;7.8
1963;Hoeksche Waard;21;86656;24.2
1735;Hof van Twente;5;34940;14.3
1911;Hollands Kroon;7;47815;14.6
118;Hoogeveen;5;55662;9
405;Hoorn;9;73004;12.3
1507;Horst aan de Maas;13;42291;30.7
321;Houten;23;49911;46.1
406;Huizen;3;41273;7.3
677;Hulst;0;27524;0
353;IJsselstein;13;34160;38.1
1884;Kaag en Braassem;2;26866;7.4
166;Kampen;14;53779;26
678;Kapelle;2;12785;15.6
537;Katwijk;6;65302;9.2
928;Kerkrade;8;45642;17.5
1598;Koggenland;2;22738;8.8
542;Krimpen aan den IJssel;3;29376;10.2
1931;Krimpenerwaard;11;56048;19.6
1659;Laarbeek;11;22333;49.3
1685;Landerd;22;15529;141.7
882;Landgraaf;10;37591;26.6
415;Landsmeer;5;11488;43.5
416;Langedijk;4;27992;14.3
1621;Lansingerland;20;61601;32.5
417;Laren;0;11195;0
