Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-11,0-4,Vrouw,0,0
2020-05-11,5-9,Vrouw,0,0
2020-05-11,10-14,Vrouw,0,0
2020-05-11,15-19,Vrouw,0,0
2020-05-11,20-24,Vrouw,0,0
2020-05-11,25-29,Vrouw,0,0
2020-05-11,30-34,Vrouw,0,1
2020-05-11,35-39,Vrouw,1,2
2020-05-11,40-44,Vrouw,0,0
2020-05-11,45-49,Vrouw,1,13
2020-05-11,50-54,Vrouw,0,18
2020-05-11,55-59,Vrouw,1,22
2020-05-11,60-64,Vrouw,0,46
2020-05-11,65-69,Vrouw,2,108
2020-05-11,70-74,Vrouw,4,222
2020-05-11,75-79,Vrouw,9,316
2020-05-11,80-84,Vrouw,17,469
2020-05-11,85-89,Vrouw,31,570
2020-05-11,90-94,Vrouw,20,432
2020-05-11,95+,Vrouw,11,193
2020-05-11,0-4,Man,0,0
2020-05-11,5-9,Man,0,0
2020-05-11,10-14,Man,0,0
2020-05-11,15-19,Man,0,1
2020-05-11,20-24,Man,0,0
2020-05-11,25-29,Man,0,3
2020-05-11,30-34,Man,0,2
2020-05-11,35-39,Man,0,5
2020-05-11,40-44,Man,0,5
2020-05-11,45-49,Man,0,7
2020-05-11,50-54,Man,2,21
2020-05-11,55-59,Man,3,66
2020-05-11,60-64,Man,3,101
2020-05-11,65-69,Man,2,194
2020-05-11,70-74,Man,7,346
2020-05-11,75-79,Man,9,620
2020-05-11,80-84,Man,18,683
2020-05-11,85-89,Man,21,643
2020-05-11,90-94,Man,3,277
2020-05-11,95+,Man,4,70
