Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-08,0-4,Vrouw,0,0
2020-05-08,5-9,Vrouw,0,0
2020-05-08,10-14,Vrouw,0,0
2020-05-08,15-19,Vrouw,0,0
2020-05-08,20-24,Vrouw,0,0
2020-05-08,25-29,Vrouw,0,0
2020-05-08,30-34,Vrouw,0,1
2020-05-08,35-39,Vrouw,0,1
2020-05-08,40-44,Vrouw,0,0
2020-05-08,45-49,Vrouw,0,12
2020-05-08,50-54,Vrouw,0,18
2020-05-08,55-59,Vrouw,0,21
2020-05-08,60-64,Vrouw,0,46
2020-05-08,65-69,Vrouw,1,107
2020-05-08,70-74,Vrouw,2,220
2020-05-08,75-79,Vrouw,4,311
2020-05-08,80-84,Vrouw,8,460
2020-05-08,85-89,Vrouw,14,553
2020-05-08,90-94,Vrouw,5,417
2020-05-08,95+,Vrouw,6,188
2020-05-08,0-4,Man,0,0
2020-05-08,5-9,Man,0,0
2020-05-08,10-14,Man,0,0
2020-05-08,15-19,Man,0,1
2020-05-08,20-24,Man,0,0
2020-05-08,25-29,Man,0,3
2020-05-08,30-34,Man,0,2
2020-05-08,35-39,Man,0,5
2020-05-08,40-44,Man,0,5
2020-05-08,45-49,Man,0,7
2020-05-08,50-54,Man,0,19
2020-05-08,55-59,Man,2,65
2020-05-08,60-64,Man,1,99
2020-05-08,65-69,Man,1,193
2020-05-08,70-74,Man,3,342
2020-05-08,75-79,Man,6,617
2020-05-08,80-84,Man,5,670
2020-05-08,85-89,Man,6,628
2020-05-08,90-94,Man,1,275
2020-05-08,95+,Man,2,68
