Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-06,0-4,Vrouw,0,0
2020-05-06,5-9,Vrouw,0,0
2020-05-06,10-14,Vrouw,0,0
2020-05-06,15-19,Vrouw,0,0
2020-05-06,20-24,Vrouw,0,0
2020-05-06,25-29,Vrouw,0,0
2020-05-06,30-34,Vrouw,0,1
2020-05-06,35-39,Vrouw,0,1
2020-05-06,40-44,Vrouw,0,0
2020-05-06,45-49,Vrouw,0,11
2020-05-06,50-54,Vrouw,1,18
2020-05-06,55-59,Vrouw,0,21
2020-05-06,60-64,Vrouw,1,46
2020-05-06,65-69,Vrouw,6,106
2020-05-06,70-74,Vrouw,10,216
2020-05-06,75-79,Vrouw,9,302
2020-05-06,80-84,Vrouw,21,449
2020-05-06,85-89,Vrouw,31,532
2020-05-06,90-94,Vrouw,24,393
2020-05-06,95+,Vrouw,10,178
2020-05-06,0-4,Man,0,0
2020-05-06,5-9,Man,0,0
2020-05-06,10-14,Man,0,0
2020-05-06,15-19,Man,0,1
2020-05-06,20-24,Man,0,0
2020-05-06,25-29,Man,0,3
2020-05-06,30-34,Man,0,2
2020-05-06,35-39,Man,0,5
2020-05-06,40-44,Man,0,5
2020-05-06,45-49,Man,0,6
2020-05-06,50-54,Man,0,19
2020-05-06,55-59,Man,2,62
2020-05-06,60-64,Man,3,98
2020-05-06,65-69,Man,3,189
2020-05-06,70-74,Man,14,334
2020-05-06,75-79,Man,20,600
2020-05-06,80-84,Man,25,661
2020-05-06,85-89,Man,20,612
2020-05-06,90-94,Man,12,266
2020-05-06,95+,Man,5,66
