Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-09,0-4,Vrouw,0,0
2020-04-09,5-9,Vrouw,0,0
2020-04-09,10-14,Vrouw,0,0
2020-04-09,15-19,Vrouw,0,0
2020-04-09,20-24,Vrouw,0,0
2020-04-09,25-29,Vrouw,0,0
2020-04-09,30-34,Vrouw,0,1
2020-04-09,35-39,Vrouw,-1,1
2020-04-09,40-44,Vrouw,0,0
2020-04-09,45-49,Vrouw,-9,5
2020-04-09,50-54,Vrouw,-11,9
2020-04-09,55-59,Vrouw,-12,12
2020-04-09,60-64,Vrouw,-31,21
2020-04-09,65-69,Vrouw,-64,50
2020-04-09,70-74,Vrouw,-152,91
2020-04-09,75-79,Vrouw,-204,140
2020-04-09,80-84,Vrouw,-321,203
2020-04-09,85-89,Vrouw,-459,204
2020-04-09,90-94,Vrouw,-364,142
2020-04-09,95+,Vrouw,-180,49
2020-04-09,0-4,Man,0,0
2020-04-09,5-9,Man,0,0
2020-04-09,10-14,Man,0,0
2020-04-09,15-19,Man,-1,0
2020-04-09,20-24,Man,0,0
2020-04-09,25-29,Man,-1,2
2020-04-09,30-34,Man,-3,0
2020-04-09,35-39,Man,-4,1
2020-04-09,40-44,Man,-4,2
2020-04-09,45-49,Man,-7,2
2020-04-09,50-54,Man,-19,8
2020-04-09,55-59,Man,-52,23
2020-04-09,60-64,Man,-64,48
2020-04-09,65-69,Man,-114,104
2020-04-09,70-74,Man,-213,170
2020-04-09,75-79,Man,-339,319
2020-04-09,80-84,Man,-381,357
2020-04-09,85-89,Man,-401,309
2020-04-09,90-94,Man,-215,104
2020-04-09,95+,Man,-58,17
