Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-05-07,0-4,Vrouw,0,0
2020-05-07,5-9,Vrouw,0,0
2020-05-07,10-14,Vrouw,0,0
2020-05-07,15-19,Vrouw,0,0
2020-05-07,20-24,Vrouw,0,0
2020-05-07,25-29,Vrouw,0,0
2020-05-07,30-34,Vrouw,0,1
2020-05-07,35-39,Vrouw,-1,1
2020-05-07,40-44,Vrouw,0,0
2020-05-07,45-49,Vrouw,-1,12
2020-05-07,50-54,Vrouw,0,18
2020-05-07,55-59,Vrouw,-2,21
2020-05-07,60-64,Vrouw,-2,46
2020-05-07,65-69,Vrouw,-2,106
2020-05-07,70-74,Vrouw,-7,218
2020-05-07,75-79,Vrouw,-14,307
2020-05-07,80-84,Vrouw,-29,452
2020-05-07,85-89,Vrouw,-44,539
2020-05-07,90-94,Vrouw,-36,412
2020-05-07,95+,Vrouw,-15,182
2020-05-07,0-4,Man,0,0
2020-05-07,5-9,Man,0,0
2020-05-07,10-14,Man,0,0
2020-05-07,15-19,Man,0,1
2020-05-07,20-24,Man,0,0
2020-05-07,25-29,Man,0,3
2020-05-07,30-34,Man,0,2
2020-05-07,35-39,Man,0,5
2020-05-07,40-44,Man,0,5
2020-05-07,45-49,Man,0,7
2020-05-07,50-54,Man,-3,19
2020-05-07,55-59,Man,-5,63
2020-05-07,60-64,Man,-4,98
2020-05-07,65-69,Man,-3,192
2020-05-07,70-74,Man,-14,339
2020-05-07,75-79,Man,-14,611
2020-05-07,80-84,Man,-27,665
2020-05-07,85-89,Man,-32,622
2020-05-07,90-94,Man,-15,274
2020-05-07,95+,Man,-5,66
