Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-10,0-4,Vrouw,0,0
2020-04-10,5-9,Vrouw,0,0
2020-04-10,10-14,Vrouw,0,0
2020-04-10,15-19,Vrouw,0,0
2020-04-10,20-24,Vrouw,0,0
2020-04-10,25-29,Vrouw,0,0
2020-04-10,30-34,Vrouw,0,1
2020-04-10,35-39,Vrouw,0,1
2020-04-10,40-44,Vrouw,0,0
2020-04-10,45-49,Vrouw,0,5
2020-04-10,50-54,Vrouw,-3,10
2020-04-10,55-59,Vrouw,-2,12
2020-04-10,60-64,Vrouw,-6,21
2020-04-10,65-69,Vrouw,-7,54
2020-04-10,70-74,Vrouw,-13,94
2020-04-10,75-79,Vrouw,-26,146
2020-04-10,80-84,Vrouw,-35,217
2020-04-10,85-89,Vrouw,-42,217
2020-04-10,90-94,Vrouw,-33,149
2020-04-10,95+,Vrouw,-15,54
2020-04-10,0-4,Man,0,0
2020-04-10,5-9,Man,0,0
2020-04-10,10-14,Man,0,0
2020-04-10,15-19,Man,0,0
2020-04-10,20-24,Man,0,0
2020-04-10,25-29,Man,-1,2
2020-04-10,30-34,Man,0,1
2020-04-10,35-39,Man,-1,1
2020-04-10,40-44,Man,-1,2
2020-04-10,45-49,Man,0,2
2020-04-10,50-54,Man,-5,9
2020-04-10,55-59,Man,-6,25
2020-04-10,60-64,Man,-9,50
2020-04-10,65-69,Man,-21,106
2020-04-10,70-74,Man,-41,175
2020-04-10,75-79,Man,-58,331
2020-04-10,80-84,Man,-37,372
2020-04-10,85-89,Man,-47,324
2020-04-10,90-94,Man,-21,109
2020-04-10,95+,Man,-5,19
