Datum,LeeftijdGroep,Geslacht,Aantal,AantalCumulatief
2020-04-29,0-4,Vrouw,0,0
2020-04-29,5-9,Vrouw,0,0
2020-04-29,10-14,Vrouw,0,0
2020-04-29,15-19,Vrouw,0,0
2020-04-29,20-24,Vrouw,0,0
2020-04-29,25-29,Vrouw,0,0
2020-04-29,30-34,Vrouw,0,1
2020-04-29,35-39,Vrouw,0,1
2020-04-29,40-44,Vrouw,0,0
2020-04-29,45-49,Vrouw,0,10
2020-04-29,50-54,Vrouw,0,17
2020-04-29,55-59,Vrouw,1,20
2020-04-29,60-64,Vrouw,4,42
2020-04-29,65-69,Vrouw,2,93
2020-04-29,70-74,Vrouw,9,196
2020-04-29,75-79,Vrouw,5,275
2020-04-29,80-84,Vrouw,12,404
2020-04-29,85-89,Vrouw,16,463
2020-04-29,90-94,Vrouw,13,342
2020-04-29,95+,Vrouw,13,156
2020-04-29,0-4,Man,0,0
2020-04-29,5-9,Man,0,0
2020-04-29,10-14,Man,0,0
2020-04-29,15-19,Man,0,1
2020-04-29,20-24,Man,0,0
2020-04-29,25-29,Man,0,3
2020-04-29,30-34,Man,0,2
2020-04-29,35-39,Man,0,4
2020-04-29,40-44,Man,0,4
2020-04-29,45-49,Man,0,5
2020-04-29,50-54,Man,0,19
2020-04-29,55-59,Man,1,58
2020-04-29,60-64,Man,1,87
2020-04-29,65-69,Man,7,180
2020-04-29,70-74,Man,7,311
2020-04-29,75-79,Man,10,557
2020-04-29,80-84,Man,19,597
2020-04-29,85-89,Man,14,563
2020-04-29,90-94,Man,8,242
2020-04-29,95+,Man,3,57
