Datum,Type,Aantal,AantalCumulatief
2020-02-28,Positief geteste bewoners,0,0
2020-02-28,Overleden besmette bewoners,0,0
2020-02-29,Positief geteste bewoners,0,0
2020-02-29,Overleden besmette bewoners,0,0
2020-03-01,Positief geteste bewoners,0,0
2020-03-01,Overleden besmette bewoners,0,0
2020-03-02,Positief geteste bewoners,0,0
2020-03-02,Overleden besmette bewoners,0,0
2020-03-03,Positief geteste bewoners,0,0
2020-03-03,Overleden besmette bewoners,0,0
2020-03-04,Positief geteste bewoners,1,1
2020-03-04,Overleden besmette bewoners,0,0
2020-03-05,Positief geteste bewoners,1,2
2020-03-05,Overleden besmette bewoners,0,0
2020-03-06,Positief geteste bewoners,0,2
2020-03-06,Overleden besmette bewoners,0,0
2020-03-07,Positief geteste bewoners,3,5
2020-03-07,Overleden besmette bewoners,0,0
2020-03-08,Positief geteste bewoners,4,9
2020-03-08,Overleden besmette bewoners,2,2
2020-03-09,Positief geteste bewoners,5,14
2020-03-09,Overleden besmette bewoners,0,2
2020-03-10,Positief geteste bewoners,12,26
2020-03-10,Overleden besmette bewoners,0,2
2020-03-11,Positief geteste bewoners,14,40
2020-03-11,Overleden besmette bewoners,1,3
2020-03-12,Positief geteste bewoners,12,52
2020-03-12,Overleden besmette bewoners,1,4
2020-03-13,Positief geteste bewoners,7,59
2020-03-13,Overleden besmette bewoners,1,5
2020-03-14,Positief geteste bewoners,8,67
2020-03-14,Overleden besmette bewoners,3,8
2020-03-15,Positief geteste bewoners,23,90
2020-03-15,Overleden besmette bewoners,6,14
2020-03-16,Positief geteste bewoners,27,117
2020-03-16,Overleden besmette bewoners,7,21
2020-03-17,Positief geteste bewoners,33,150
2020-03-17,Overleden besmette bewoners,3,24
2020-03-18,Positief geteste bewoners,49,199
2020-03-18,Overleden besmette bewoners,4,28
2020-03-19,Positief geteste bewoners,48,247
2020-03-19,Overleden besmette bewoners,8,36
2020-03-20,Positief geteste bewoners,80,327
2020-03-20,Overleden besmette bewoners,12,48
2020-03-21,Positief geteste bewoners,70,397
2020-03-21,Overleden besmette bewoners,15,63
2020-03-22,Positief geteste bewoners,76,473
2020-03-22,Overleden besmette bewoners,18,81
2020-03-23,Positief geteste bewoners,84,557
2020-03-23,Overleden besmette bewoners,19,100
2020-03-24,Positief geteste bewoners,123,680
2020-03-24,Overleden besmette bewoners,17,117
2020-03-25,Positief geteste bewoners,154,834
2020-03-25,Overleden besmette bewoners,27,144
2020-03-26,Positief geteste bewoners,169,1003
2020-03-26,Overleden besmette bewoners,32,176
2020-03-27,Positief geteste bewoners,176,1179
2020-03-27,Overleden besmette bewoners,37,213
2020-03-28,Positief geteste bewoners,157,1336
2020-03-28,Overleden besmette bewoners,29,242
2020-03-29,Positief geteste bewoners,113,1449
2020-03-29,Overleden besmette bewoners,39,281
2020-03-30,Positief geteste bewoners,157,1606
2020-03-30,Overleden besmette bewoners,57,338
2020-03-31,Positief geteste bewoners,185,1791
2020-03-31,Overleden besmette bewoners,59,397
2020-04-01,Positief geteste bewoners,167,1958
2020-04-01,Overleden besmette bewoners,59,456
2020-04-02,Positief geteste bewoners,178,2136
2020-04-02,Overleden besmette bewoners,66,522
2020-04-03,Positief geteste bewoners,226,2362
2020-04-03,Overleden besmette bewoners,58,580
2020-04-04,Positief geteste bewoners,177,2539
2020-04-04,Overleden besmette bewoners,70,650
2020-04-05,Positief geteste bewoners,182,2721
2020-04-05,Overleden besmette bewoners,71,721
2020-04-06,Positief geteste bewoners,154,2875
2020-04-06,Overleden besmette bewoners,58,779
2020-04-07,Positief geteste bewoners,233,3108
2020-04-07,Overleden besmette bewoners,64,843
2020-04-08,Positief geteste bewoners,250,3358
2020-04-08,Overleden besmette bewoners,61,904
2020-04-09,Positief geteste bewoners,274,3632
2020-04-09,Overleden besmette bewoners,65,969
2020-04-10,Positief geteste bewoners,278,3910
2020-04-10,Overleden besmette bewoners,66,1035
2020-04-11,Positief geteste bewoners,160,4070
2020-04-11,Overleden besmette bewoners,60,1095
2020-04-12,Positief geteste bewoners,170,4240
2020-04-12,Overleden besmette bewoners,80,1175
2020-04-13,Positief geteste bewoners,135,4375
2020-04-13,Overleden besmette bewoners,69,1244
2020-04-14,Positief geteste bewoners,155,4530
2020-04-14,Overleden besmette bewoners,66,1310
2020-04-15,Positief geteste bewoners,237,4767
2020-04-15,Overleden besmette bewoners,64,1374
2020-04-16,Positief geteste bewoners,226,4993
2020-04-16,Overleden besmette bewoners,82,1456
2020-04-17,Positief geteste bewoners,252,5245
2020-04-17,Overleden besmette bewoners,78,1534
2020-04-18,Positief geteste bewoners,217,5462
2020-04-18,Overleden besmette bewoners,63,1597
2020-04-19,Positief geteste bewoners,109,5571
2020-04-19,Overleden besmette bewoners,82,1679
2020-04-20,Positief geteste bewoners,157,5728
2020-04-20,Overleden besmette bewoners,48,1727
2020-04-21,Positief geteste bewoners,166,5894
2020-04-21,Overleden besmette bewoners,84,1811
2020-04-22,Positief geteste bewoners,225,6119
2020-04-22,Overleden besmette bewoners,67,1878
2020-04-23,Positief geteste bewoners,180,6299
2020-04-23,Overleden besmette bewoners,64,1942
2020-04-24,Positief geteste bewoners,148,6447
2020-04-24,Overleden besmette bewoners,60,2002
2020-04-25,Positief geteste bewoners,119,6566
2020-04-25,Overleden besmette bewoners,48,2050
2020-04-26,Positief geteste bewoners,84,6650
2020-04-26,Overleden besmette bewoners,51,2101
2020-04-27,Positief geteste bewoners,44,6694
2020-04-27,Overleden besmette bewoners,38,2139
2020-04-28,Positief geteste bewoners,121,6815
2020-04-28,Overleden besmette bewoners,38,2177
2020-04-29,Positief geteste bewoners,118,6933
2020-04-29,Overleden besmette bewoners,42,2219
2020-04-30,Positief geteste bewoners,113,7046
2020-04-30,Overleden besmette bewoners,38,2257
2020-05-01,Positief geteste bewoners,129,7175
2020-05-01,Overleden besmette bewoners,37,2294
2020-05-02,Positief geteste bewoners,68,7243
2020-05-02,Overleden besmette bewoners,38,2332
2020-05-03,Positief geteste bewoners,39,7282
2020-05-03,Overleden besmette bewoners,29,2361
2020-05-04,Positief geteste bewoners,84,7366
2020-05-04,Overleden besmette bewoners,32,2393
2020-05-05,Positief geteste bewoners,54,7420
2020-05-05,Overleden besmette bewoners,24,2417
2020-05-06,Positief geteste bewoners,72,7492
2020-05-06,Overleden besmette bewoners,36,2453
2020-05-07,Positief geteste bewoners,70,7562
2020-05-07,Overleden besmette bewoners,27,2480
2020-05-08,Positief geteste bewoners,59,7621
2020-05-08,Overleden besmette bewoners,22,2502
2020-05-09,Positief geteste bewoners,63,7684
2020-05-09,Overleden besmette bewoners,26,2528
2020-05-10,Positief geteste bewoners,36,7720
2020-05-10,Overleden besmette bewoners,18,2546
2020-05-11,Positief geteste bewoners,52,7772
2020-05-11,Overleden besmette bewoners,19,2565
2020-05-12,Positief geteste bewoners,60,7832
2020-05-12,Overleden besmette bewoners,25,2590
2020-05-13,Positief geteste bewoners,89,7921
