Datum,Type,Aantal,AantalCumulatief
2020-02-27,Positief geteste bewoners,0.0,0.0
2020-02-27,Overleden besmette bewoners,0.0,0.0
2020-02-28,Positief geteste bewoners,0.0,0.0
2020-02-28,Overleden besmette bewoners,0.0,0.0
2020-02-29,Positief geteste bewoners,0.0,0.0
2020-02-29,Overleden besmette bewoners,0.0,0.0
2020-03-01,Positief geteste bewoners,0.0,0.0
2020-03-01,Overleden besmette bewoners,0.0,0.0
2020-03-02,Positief geteste bewoners,0.0,0.0
2020-03-02,Overleden besmette bewoners,0.0,0.0
2020-03-03,Positief geteste bewoners,0.0,0.0
2020-03-03,Overleden besmette bewoners,0.0,0.0
2020-03-04,Positief geteste bewoners,1.0,1.0
2020-03-04,Overleden besmette bewoners,0.0,0.0
2020-03-05,Positief geteste bewoners,1.0,2.0
2020-03-05,Overleden besmette bewoners,0.0,0.0
2020-03-06,Positief geteste bewoners,0.0,2.0
2020-03-06,Overleden besmette bewoners,0.0,0.0
2020-03-07,Positief geteste bewoners,3.0,5.0
2020-03-07,Overleden besmette bewoners,0.0,0.0
2020-03-08,Positief geteste bewoners,4.0,9.0
2020-03-08,Overleden besmette bewoners,2.0,2.0
2020-03-09,Positief geteste bewoners,5.0,14.0
2020-03-09,Overleden besmette bewoners,0.0,2.0
2020-03-10,Positief geteste bewoners,12.0,26.0
2020-03-10,Overleden besmette bewoners,0.0,2.0
2020-03-11,Positief geteste bewoners,14.0,40.0
2020-03-11,Overleden besmette bewoners,1.0,3.0
2020-03-12,Positief geteste bewoners,12.0,52.0
2020-03-12,Overleden besmette bewoners,1.0,4.0
2020-03-13,Positief geteste bewoners,7.0,59.0
2020-03-13,Overleden besmette bewoners,1.0,5.0
2020-03-14,Positief geteste bewoners,8.0,67.0
2020-03-14,Overleden besmette bewoners,3.0,8.0
2020-03-15,Positief geteste bewoners,23.0,90.0
2020-03-15,Overleden besmette bewoners,6.0,14.0
2020-03-16,Positief geteste bewoners,25.0,115.0
2020-03-16,Overleden besmette bewoners,7.0,21.0
2020-03-17,Positief geteste bewoners,30.0,145.0
2020-03-17,Overleden besmette bewoners,3.0,24.0
2020-03-18,Positief geteste bewoners,48.0,193.0
2020-03-18,Overleden besmette bewoners,4.0,28.0
2020-03-19,Positief geteste bewoners,47.0,240.0
2020-03-19,Overleden besmette bewoners,8.0,36.0
2020-03-20,Positief geteste bewoners,80.0,320.0
2020-03-20,Overleden besmette bewoners,12.0,48.0
2020-03-21,Positief geteste bewoners,69.0,389.0
2020-03-21,Overleden besmette bewoners,15.0,63.0
2020-03-22,Positief geteste bewoners,75.0,464.0
2020-03-22,Overleden besmette bewoners,18.0,81.0
2020-03-23,Positief geteste bewoners,83.0,547.0
2020-03-23,Overleden besmette bewoners,19.0,100.0
2020-03-24,Positief geteste bewoners,121.0,668.0
2020-03-24,Overleden besmette bewoners,17.0,117.0
2020-03-25,Positief geteste bewoners,152.0,820.0
2020-03-25,Overleden besmette bewoners,26.0,143.0
2020-03-26,Positief geteste bewoners,170.0,990.0
2020-03-26,Overleden besmette bewoners,32.0,175.0
2020-03-27,Positief geteste bewoners,172.0,1162.0
2020-03-27,Overleden besmette bewoners,37.0,212.0
2020-03-28,Positief geteste bewoners,157.0,1319.0
2020-03-28,Overleden besmette bewoners,28.0,240.0
